channelId,title,viewCount,subscriberCount,videoCount
UCCpSTBr5nxLCyMEsyTSxNEA,Tricky Maths Education Adda,159231851,2190000,3407
UCyq_P9rDhHwLBE5CLqd2rMA,PARTH EDUCATION,85296668,1020000,13145
UC7FWT474H8a7-pLf1Tutdeg,Quality Education,69607880,705000,2683
UCKS34cSMNaXaySe2xgXH-3A,Education 4u,243861643,940000,3682
UCy6sHUcnuoUUAK4Rfl20aYA,circle of education,590887,6680,269
UCds2QbEcFXCaJ9Q16-rloyg,MH EDUCATION LAB,10836631,193000,2025
UC-TM-z1-tmX1iK_H4SxVhww,Malmesbury Education,8348243,50800,72
UC3mRefGx5AMqrMZUDKNahrA,Education Empowerment,719759,5020,283
UC_f7C43GUWhif5_yPsamdfA,Crimson Education,30533784,229000,1549
UC12JuiJvbK7D00jF8X4qJyw,StudyTube Education,34921351,396000,803
UCnP3W7Wh4gUv-bl9NX7a6_Q,Education Point Online,26250530,190000,2104
UCbaZa-dV7h9QOLzrzrY363w,Free Animated Education,13929237,144000,248
UCjeP0i4rKFarfywgtOVw6QA,Shrivastav Job Education,44708,528000,5
UCFEhLEay1zs7TAU1qsOUtdg,Krishint Education Point,4396127,57200,480
UCoqtKR3DyzMoSaMxqSyrdig,Brain Education TV,26856834,412000,653
UCTldDNXS4GeChcmwm55mXYQ,Nail Career Education,371911223,2860000,1001
UC4CicGqNhLjKV8H9wb6MaSg,Indian Teacher Education Community,109845,3200,244
UCusVeeBCblQj3zHUiPDX9NA,GAB Education,2287457,31600,481
UCwWa8EzP8vuI_hvFWOTryEg,ZeeKay Education,19513348,30200,536
UCMa5rJj8DHjXWMDmo8ISGsA,RP TARGET EDUCATION,913335,8670,811
UCtBRjzPRXhUeK88fiIzQ0DQ,Immerse Education,712703,2310,194
UCJW2DTReF-JELb_gpeVJhFw,MS Board of Education Live Stream,186047,3210,260
UC0q6WcSP-DVwX4Hgme-I3zw,KeyPoints Education,65200123,756000,506
UCuAEa5va5Pw-B8d2oM-_PGQ,Britannica Education,130024,3750,72
UCB-hXAnF8U_KMAgtAUUC7Aw,Teachings in Education,25962167,273000,424
UC4ueoq3y3BhY2lPdw6uqeQQ,Ethiopian Education,43760066,277000,1970
UCUGCX0GG09tlEemvgwwur-g,Khaira Education,1273004,9590,200
UCH6OZDSeHdJbiOxA5VhUwAg,E.C.C Education,13484003,132000,479
UCgC3zAXW6S01XgyNkj1i2Yg,School of Education,94072,1790,97
UCQP034vzXl_T_UXNo8uGQyA,Defence Direct Education,1014703839,2370000,1873
UCvKnELM6qUcwgsEADqMHk8w,MLT Education Point,34717634,402000,460
UC0M-AZjyPPnFk9OuafMmYLQ,IMB Education,12229073,103000,704
UCUEpR6_K-g-VsDp_M2NJnsw,OU Education,22421272,73200,2822
UCHfYD2Ngu39JMfRFLX10Fdg,AJ's EDUCATION SOLUTIONS,164283,1900,446
UC-9byhvAtLbYgodBD-n86Zg,Utkal All Education,2367252,57100,329
UCfANEYz13Ey2vE_ziHVHBXQ,Athena Education,1320441,64100,741
UClKDlWY7NhEFibjq1lx5_-w,Prague Education Center,14309727,101000,629
UCmjsWUTVOUWjP6kxdvsya5A,V V M Education,3616014,21500,839
UCi_rG8A7ge31P9Wlisv2XlQ,Vinu Education Point,11717642,167000,1449
UCNjLXBxN5nHriPDnRr7zp3A,Maan Education,25909810,464000,492
UCRUCjPehBxFQ6lfZDqq_f7g,Institute of Education Sciences,4407900,21100,2186
UCdp4_l1vPmpN-gDbUwhaRUQ,Branch Education,98433854,2500000,49
UCMyp5DD6JGpaGOiApHYTysQ,Department of Education Schools Manipur,10876420,132000,1239
UCeasbjVyx227l2ETO-xAssw,Free Salon Education,143032568,1080000,1407
UCyDymklPNMrOXKc3BG1dtBQ,Themantic Education,1583686,13900,149
UCYtp74jGqSdHJdIh9v61MNQ,Stanford Graduate School of Education,247402,7190,263
UCmwui2PYSOJ9L6zAD0OEagg,Om Education Unjha,25480,305,80
UC1Up4TuDvGZraQUj9vxUaxQ,Harvard Graduate School of Education,6264085,66100,1256
UCSL3Jd1qtL3RkeKCpbhOspg,DP Education - Science,39104573,390000,2238
UCG39RTGd380JWqV99b6KxnA,Khan Education Hub,226071,3920,213
UC6hjOyoJnB1PIxl8HszMt8g,Soni Traveling,15736788,85700,484
UC-JFCYHPWDWhTe2RzAwfgrQ,Travel With AB,64560780,390000,381
UC3o_gaqvLoPSRVMc2GmkDrg,Expoza Travel,75780654,252000,2435
UCqa5gDXXxK0M8gr8WadV4yw,Travel Kids,9171112,45000,214
UCktbDpSgC_JJX3APNNbVMWA,Talkin Travel,12156187,110000,325
UClMdFZYKHq1apvwboacydtw,Inder khushi Travel Vlogs ,902997,23400,66
UC6OjooeFqsuH1kVOTEAxjIA,Punjabi Travel Couple,308898643,978000,1019
UCAjA4SbeRNqig8NdNszDBsA,DW Travel,68634241,379000,1474
UC7nbOXnwrSCPGfy3bml5L1g,eva travel,114340122,280000,996
UC8-P4mzYYPcjitkBs_YsmDA,Travel with Tejasvi,11288243,47600,256
UCzNiyMcMKsrQT-95xsj3VHA,Traveling Book,2803100,19400,172
